    Finished release [optimized] target(s) in 0.00s
     Running `target/release/shortest-path-server`
4,2,10246,2,2
7,9,10123,3,4
65536,32768,10720,3884,7910
5,4,11564,12,5
4,2,11098,2,2
7,9,10691,3,4
65536,32768,12400,3492,6467
5,4,10122,2,14
4,2,10922,2,2
7,9,11334,3,4
65536,32768,11382,3730,6770
5,4,10341,2,5
4,2,10348,2,2
7,9,10267,12,4
65536,32768,12667,3349,7229
5,4,10659,12,5
4,2,10169,2,2
7,9,11001,3,4
65536,32768,11660,3763,7334
5,4,10135,2,5
4,2,10423,2,2
7,9,10400,4,5
65536,32768,10566,3948,6840
5,4,11342,11,5
4,2,10289,2,2
7,9,11419,4,5
65536,32768,10707,3931,7213
5,4,10981,2,5
4,2,10446,2,2
7,9,10445,3,4
65536,32768,12041,3826,8032
5,4,10353,2,4
4,2,10306,2,2
7,9,11550,3,4
65536,32768,12249,3598,6710
5,4,10095,2,5
4,2,10388,3,3
7,9,11407,3,4
65536,32768,11246,3373,7685
5,4,10221,2,5
4,2,11465,2,3
7,9,10411,3,5
65536,32768,10830,3355,7442
5,4,10452,2,5
4,2,10326,2,2
7,9,11764,3,15
65536,32768,10911,3842,7283
5,4,10174,12,5
4,2,10334,2,3
7,9,11240,3,14
65536,32768,11558,3794,7720
5,4,10426,2,5
4,2,10228,2,2
7,9,10404,3,13
65536,32768,11219,3599,7976
5,4,10679,2,5
4,2,10350,10,2
7,9,11038,3,4
65536,32768,10897,3507,7531
5,4,10918,2,4
4,2,11027,4,4
7,9,11112,4,5
65536,32768,12024,3333,7261
5,4,10810,2,5
4,2,10298,2,2
7,9,10318,2,4
65536,32768,11898,3325,7485
5,4,11213,2,5
4,2,12012,2,2
7,9,11123,4,5
65536,32768,10589,3360,7249
5,4,10744,2,5
4,2,10207,2,2
7,9,10154,3,4
65536,32768,11278,3361,7418
5,4,11410,2,15
4,2,11404,2,2
7,9,11099,3,4
65536,32768,11139,3521,6988
5,4,10470,2,5
4,2,10313,2,2
7,9,11220,3,4
65536,32768,10922,3302,7539
5,4,10298,11,5
4,2,11089,2,2
7,9,10193,2,4
65536,32768,11404,3301,7618
5,4,10125,2,5
4,2,10434,2,2
7,9,10236,2,4
65536,32768,12410,3394,7906
5,4,11891,2,5
