    Finished dev [unoptimized + debuginfo] target(s) in 0.00s
     Running `target/debug/shortest-path-server`
65536,32768,44850,77823,128287
5,4,11697,24,29
4,2,11867,19,21
7,9,10411,35,37
65536,32768,45650,83648,129806
5,4,10291,25,29
4,2,10192,20,22
7,9,10349,35,37
65536,32768,44956,78471,128305
5,4,10714,24,30
4,2,10724,19,21
7,9,11007,49,39
65536,32768,47988,77897,133242
5,4,10535,24,44
4,2,10318,30,30
7,9,10155,38,38
65536,32768,44218,78317,129239
5,4,10212,24,29
4,2,10108,20,21
7,9,10270,34,37
65536,32768,43886,78001,127505
5,4,11012,23,28
4,2,10192,19,21
7,9,10994,35,37
65536,32768,43650,77087,127982
5,4,10277,24,33
4,2,10858,24,26
7,9,10885,55,37
65536,32768,44349,77185,126990
5,4,11327,43,43
4,2,10986,19,22
7,9,10244,35,38
65536,32768,44456,79804,129385
5,4,10943,24,29
4,2,10325,23,38
7,9,10316,79,59
65536,32768,43712,78836,130618
5,4,10392,33,41
4,2,11359,19,21
7,9,10956,34,36
65536,32768,44293,78007,135519
5,4,10718,42,30
4,2,10115,21,22
7,9,10379,56,57
65536,32768,45066,79935,132360
5,4,10689,25,30
4,2,10998,19,21
7,9,10182,82,70
65536,32768,43791,79341,130512
5,4,10469,24,29
4,2,11176,21,22
7,9,10403,75,49
65536,32768,44491,90649,144498
5,4,10992,24,29
4,2,10160,19,21
7,9,10207,37,39
65536,32768,43915,77647,128244
5,4,10711,25,30
4,2,10333,20,21
7,9,11033,35,37
65536,32768,43024,77866,129370
5,4,10722,24,30
4,2,10767,19,21
7,9,10315,35,37
65536,32768,46201,81218,135251
5,4,10948,24,29
4,2,10300,20,21
7,9,10201,35,37
65536,32768,43612,80403,131694
5,4,10153,26,31
4,2,10124,22,29
7,9,10687,34,36
65536,32768,45963,79539,129769
5,4,10173,23,29
4,2,10734,20,22
7,9,10190,35,35
65536,32768,45282,78657,128851
5,4,10533,24,29
4,2,10168,20,22
7,9,10658,45,44
65536,32768,44944,78045,130745
5,4,10465,24,29
4,2,10101,40,34
7,9,10346,35,38
65536,32768,44361,78137,132825
5,4,10972,28,62
4,2,10252,50,37
7,9,10893,34,36
65536,32768,43671,80057,128445
5,4,10864,37,45
4,2,10769,19,22
7,9,11014,37,60
65536,32768,44120,78093,130023
5,4,11010,24,30
4,2,10862,20,22
7,9,10929,37,51
65536,32768,43379,78207,134871
5,4,10984,27,46
4,2,11216,20,22
7,9,10931,36,38
65536,32768,45481,81850,132607
5,4,10209,25,30
4,2,11210,35,24
7,9,11020,36,37
65536,32768,44905,84888,131592
5,4,11010,25,29
4,2,10195,20,21
7,9,10743,45,37
65536,32768,44692,77490,132246
5,4,10981,26,38
4,2,11726,20,21
7,9,11057,35,37
65536,32768,45539,77523,128469
5,4,10461,24,29
4,2,12049,26,24
7,9,10763,35,37
65536,32768,45516,77774,128003
5,4,10723,26,30
4,2,10157,19,21
7,9,10194,34,36
65536,32768,44242,78373,129396
5,4,10564,24,29
4,2,10104,18,21
7,9,11321,35,38
65536,32768,44410,77319,126621
5,4,10397,24,29
4,2,10706,19,21
7,9,10180,34,36
65536,32768,45791,80734,132182
5,4,10984,24,30
4,2,10236,20,21
7,9,10186,35,36
65536,32768,45879,78371,127704
5,4,11572,26,32
4,2,11045,19,21
7,9,11662,37,38
65536,32768,44106,80025,126006
5,4,10593,25,29
4,2,10243,38,49
7,9,10665,51,54
65536,32768,43609,80576,127989
5,4,10829,25,30
4,2,10991,21,22
7,9,11362,34,36
65536,32768,44044,78109,130728
5,4,11711,26,74
4,2,11791,41,42
7,9,10486,47,81
65536,32768,45514,78077,134432
5,4,10944,32,35
4,2,10841,19,21
7,9,10918,35,37
65536,32768,46660,82382,130447
5,4,10636,24,28
4,2,10284,20,21
7,9,11204,58,57
65536,32768,44084,77632,126751
5,4,10951,30,31
4,2,10376,20,21
7,9,10340,35,37
65536,32768,45164,77146,129356
5,4,10484,28,42
4,2,11755,20,22
7,9,11799,52,50
65536,32768,44939,77894,127752
5,4,10564,34,30
4,2,10069,20,22
7,9,10267,36,37
65536,32768,43722,78475,128001
5,4,10503,32,34
4,2,11362,19,21
7,9,10253,55,79
65536,32768,46466,81413,134504
5,4,10656,24,29
4,2,11341,20,21
7,9,10165,35,38
65536,32768,45271,77228,127825
5,4,10389,25,30
4,2,10389,19,21
7,9,10203,35,36
65536,32768,43698,78443,129650
5,4,10371,25,27
4,2,11795,19,21
7,9,10942,35,37
65536,32768,43934,78028,126677
5,4,10277,24,29
4,2,11967,21,22
7,9,11186,65,68
65536,32768,43989,78196,129121
5,4,10729,24,29
4,2,10308,20,21
7,9,10235,34,36
65536,32768,43681,77343,129841
